member_casual,day_of_week,month_name,total_trips,average_ride_length
casual,Friday,April,20414,16.71
casual,Friday,May,35402,17.53
casual,Friday,November,15236,14.66
casual,Friday,October,37089,17.48
casual,Friday,February,7552,14.55
casual,Friday,September,36380,18.49
casual,Friday,December,4069,11.14
casual,Friday,June,39193,20.49
casual,Friday,July,45201,22.14
casual,Friday,August,55228,20.02
casual,Friday,March,10495,14.36
casual,Friday,January,3697,14.15
casual,Monday,September,40584,20.25
casual,Monday,July,32078,20.51
casual,Monday,January,2774,12.52
casual,Monday,April,12279,14.42
casual,Monday,November,9260,13.28
casual,Monday,December,3274,11.04
casual,Monday,March,14925,18.85
casual,Monday,August,27021,19.96
casual,Monday,October,21396,17.43
casual,Monday,May,31068,20.97
casual,Monday,June,35585,21.11
casual,Monday,February,5172,15.94
casual,Saturday,February,5685,13.78
casual,Saturday,May,55981,21.73
casual,Saturday,March,19740,19.01
casual,Saturday,July,56964,23.69
casual,Saturday,June,59473,23.6
casual,Saturday,September,46151,20.96
casual,Saturday,October,42413,20.03
casual,Saturday,April,19227,17.79
casual,Saturday,November,22929,19.02
casual,Saturday,December,4731,15.03
casual,Saturday,January,3272,16.7
casual,Saturday,August,77196,23.25
casual,Sunday,October,36536,22.27
casual,Sunday,April,18694,19.77
casual,Sunday,August,67576,24.14
casual,Sunday,January,2822,13.27
casual,Sunday,February,5196,17.71
casual,Sunday,November,14791,17.16
casual,Sunday,December,2181,12.96
casual,Sunday,June,52689,23.49
casual,Sunday,March,14224,18.34
casual,Sunday,May,43861,22.2
casual,Sunday,July,45324,23.5
casual,Sunday,September,40602,22.53
casual,Thursday,January,3793,11.01
casual,Thursday,April,21628,15.36
casual,Thursday,November,11464,11.75
casual,Thursday,October,32208,14.65
casual,Thursday,September,30089,16.17
casual,Thursday,May,23100,15.22
casual,Thursday,March,9068,12.98
casual,Thursday,February,5526,10.58
casual,Thursday,August,35900,19.16
casual,Thursday,June,36311,19.67
casual,Thursday,July,43993,18.6
casual,Thursday,December,3633,12.15
casual,Tuesday,April,16777,15.53
casual,Tuesday,May,23020,16.04
casual,Tuesday,June,30662,19.54
casual,Tuesday,August,26861,18.03
casual,Tuesday,September,34946,16.8
casual,Tuesday,November,10146,11.8
casual,Tuesday,December,4756,11.98
casual,Tuesday,July,42901,18.98
casual,Tuesday,October,18099,14.59
casual,Tuesday,January,4017,10.35
casual,Tuesday,March,8532,11.16
casual,Tuesday,February,4945,10.52
casual,Wednesday,December,4444,12.01
casual,Wednesday,September,25975,15.53
casual,Wednesday,October,26639,13.19
casual,Wednesday,November,10893,11.67
casual,Wednesday,March,7828,14.22
casual,Wednesday,February,6001,12.42
casual,Wednesday,July,41985,17.93
casual,Wednesday,April,18007,13.04
casual,Wednesday,May,23522,15.36
casual,Wednesday,June,24789,18.5
casual,Wednesday,January,3503,10.44
casual,Wednesday,August,33751,18.33
member,Friday,May,64670,11.54
member,Friday,November,37410,11.32
member,Friday,March,28747,10.19
member,Friday,October,68202,11.57
member,Friday,February,25097,10.48
member,Friday,January,15620,11.89
member,Friday,April,42733,11.19
member,Friday,July,51982,13.16
member,Friday,December,15153,10.77
member,Friday,June,51691,12.05
member,Friday,August,74891,12.23
member,Friday,September,60728,11.97
member,Monday,July,56906,12.38
member,Monday,August,52692,11.56
member,Monday,June,64213,11.79
member,Monday,October,51718,11.28
member,Monday,May,50860,12.38
member,Monday,March,41257,11.41
member,Monday,November,34411,10.58
member,Monday,April,39622,10.49
member,Monday,January,15305,11.42
member,Monday,February,21576,10.18
member,Monday,September,70491,12.04
member,Monday,December,17172,10.76
member,Saturday,April,31007,11.5
member,Saturday,June,49721,13.64
member,Saturday,May,60722,13.43
member,Saturday,November,35516,12.56
member,Saturday,December,11958,11.13
member,Saturday,October,48905,12.9
member,Saturday,July,48279,13.97
member,Saturday,January,10931,12.02
member,Saturday,February,15713,10.3
member,Saturday,August,66238,13.74
member,Saturday,March,29308,12.35
member,Saturday,September,49998,13.1
member,Sunday,September,47489,13.29
member,Sunday,February,12847,11.19
member,Sunday,January,8626,10.16
member,Sunday,May,50871,13.0
member,Sunday,December,6881,12.04
member,Sunday,August,60215,14.17
member,Sunday,March,25678,11.59
member,Sunday,July,44396,13.93
member,Sunday,November,27260,11.64
member,Sunday,October,41462,13.52
member,Sunday,April,29266,11.97
member,Sunday,June,50417,13.29
member,Thursday,January,18657,10.86
member,Thursday,May,57234,10.95
member,Thursday,February,26800,9.72
member,Thursday,October,77640,11.23
member,Thursday,August,64909,12.29
member,Thursday,December,15738,10.23
member,Thursday,March,32185,10.3
member,Thursday,June,57583,12.09
member,Thursday,September,66406,11.64
member,Thursday,April,58483,11.18
member,Thursday,July,74344,12.03
member,Thursday,November,38466,10.77
member,Tuesday,January,21636,10.77
member,Tuesday,August,57982,11.75
member,Tuesday,June,58690,12.02
member,Tuesday,November,38058,10.62
member,Tuesday,April,49682,10.95
member,Tuesday,December,21985,12.63
member,Tuesday,May,55791,11.12
member,Tuesday,September,81596,11.82
member,Tuesday,February,26379,10.08
member,Tuesday,October,52829,10.83
member,Tuesday,March,36767,9.71
member,Tuesday,July,78995,12.3
member,Wednesday,August,66203,12.19
member,Wednesday,May,59389,11.27
member,Wednesday,June,47208,11.77
member,Wednesday,October,73338,10.97
member,Wednesday,November,40803,11.0
member,Wednesday,January,19090,10.77
member,Wednesday,April,57687,10.58
member,Wednesday,July,75492,11.92
member,Wednesday,February,28828,10.33
member,Wednesday,December,20484,10.85
member,Wednesday,September,64246,11.58
member,Wednesday,March,29712,10.46